row ID,row m/z,row retention time,Extract.mzXML Peak area,F_5.mzXML Peak area,F_6.mzXML Peak area,F_7.mzXML Peak area,F_8.mzXML Peak area,F_9.mzXML Peak area,F_10.mzXML Peak area,F_11.mzXML Peak area,F_12.mzXML Peak area,F_13.mzXML Peak area,F_14.mzXML Peak area,F_15.mzXML Peak area,F_16.mzXML Peak area,F_17.mzXML Peak area
123,595.256,1290,26825227.75,58948.71289,0,0,0,426145709.8,31806522.54,3247241.664,1444235.781,69846.50781,760718.1641,2090163.645,981674.207,453364.7695
124,595.29,1290,58210084.31,0,0,0,0,883834975,46231993.25,4417859.594,2962319.984,626422.5352,1875192.391,2941328.152,657456.8828,1181390.098
125,597.269,1165,1731858680,766044.4844,0,0,0,106289740,7184277170,162888291.8,64590690.75,20537892.75,59359066,135318592.5,126114282.6,38616408.81
126,597.271,1213,184630981.3,0,0,0,0,6250109.184,874315720.3,93949544,11729660,1885660.961,5607124.676,11127727.4,4238755.59,3922197.434
127,597.271,1037,30794104.91,0,0,0,0,0,97938391.19,280271532.8,12438045.91,1114271.182,936597.2695,1069619.734,438649.0996,382947.1406
128,597.271,1306,66438805.44,26262.04688,0,0,0,504337523.1,258937252.9,7567130.793,6275518.301,833968.623,2014738.445,4984209.594,3047666.023,1427595.16
129,597.271,896,87810612.25,0,0,0,0,0,0,5687863.422,1567529932,26203366.76,6994411.992,8735637.252,1713033.725,2111229.201
130,598.265,597,753596.5703,0,0,0,0,0,0,0,0,0,7208884.646,80716272.5,906115.0684,29638.33984
131,598.27,1168,499038484.5,116223.3848,0,0,0,36366126.94,2122388480,54381533.5,23993930.75,7552446.555,19722446.86,31874207.75,7091848.234,13627688.05
132,605.305,1225,459720.2148,0,0,0,0,0,0,1339127.553,0,140167.9883,520297.5605,131649.9375,96597909,527336.1914
133,605.31,1625,7940947.063,0,0,0,148179588.3,106475757.3,1160937.516,2970573.285,487802.748,730678.9336,90909.17188,390492.832,457547.4922,109192.6855
134,605.31,1680,8763919.309,0,0,260196.7656,276929891.4,10953905.04,808417.2344,1610341.396,729346.3906,77934.38281,70731.82617,510126.207,439872.9297,79026.21484
135,605.31,1117,0,0,0,0,0,0,0,52787530.75,1196430.777,241393.4609,36369.44922,56428.84375,5452716.922,1194359.174
136,609.269,999,1022948.781,0,0,0,0,0,0,42689948.75,3482694.344,0,0,0,0,0
137,613.266,824,538234541.6,69812.93945,0,0,0,0,0,11986418.83,53511994.88,698116630.5,26915699.06,50592034.63,24820644.81,8190239.242
138,613.266,874,170152821.1,0,0,0,0,0,0,4320646.734,6175170.453,281764127.9,9723442.367,16815958.3,6879808.84,3782893.766
139,615.279,823,1744730.129,0,0,0,0,0,0,154976664.9,214771554.8,1324905.875,197671.9688,176994.4453,106595.9063,50412.66211
140,615.326,1718,1873904.219,0,0,0,0,0,0,3170871.922,26448509.75,579181.9336,0,27407.06055,0,31121.86719
141,619.272,729,230349024,0,0,0,0,0,0,2240023.605,60039.875,149744882.6,1357749557,776175057.6,209111993.1,16578392.45
142,621.291,557,4461010.832,0,0,0,0,0,0,0,0,0,57138.56836,341136152.1,8582073.031,203040.0391
143,621.291,1039,26335995.9,0,30518.59375,0,0,53471.65625,868353.9082,574462723.9,63000747.5,1260640.23,29351238.2,1909973.918,151220.1094,202317.2188
144,621.292,435,1536119.086,0,0,0,0,0,0,0,0,0,89030.43555,6485343.523,147515168,542622.0078
145,625.301,1176,216707926.9,0,0,0,0,1074933721,877144900.9,16936395.87,12033696.31,1790394.125,5517092.789,11006983.82,7168536.045,3865837.918
146,625.301,1531,22654333.14,0,0,0,148741531.6,295385774.6,4404826.582,1810297.484,1010223.195,57072.98438,559016.9531,1494249.344,1401798.871,267432.6719
147,629.309,1564,3792735.896,0,0,0,0,0,0,0,0,66566.42969,16237680.35,71348054.47,147381433.8,1292579.816
148,631.311,1040,6805658.242,0,0,0,0,18938877.2,743493.1055,146794662.9,19178660.36,141132.7109,101746.7305,250096.3789,49407.69336,0
149,631.324,1759,3332028.76,0,0,577107.8789,39693379.5,32958900.06,35864.57031,29582.10156,28431.33008,1166697.211,0,149514.248,90409.81641,0
150,631.468,1240,93495.57422,0,36537896.38,0,0,0,0,0,0,0,0,0,0,0
151,633.337,1880,2816137.828,25201.33984,1022089.197,5736171.168,71190616.88,523113.0781,123601.5,370844.6914,0,0,0,0,0,0
152,635.244,877,866099.7852,0,0,0,0,0,5733718.656,46275161,243687.8535,0,0,0,26501.58398,0
153,635.268,454,14191097.32,0,0,0,0,0,0,0,0,23651.12109,233682175.2,226392265.5,20928141.07,830511.252
154,637.263,823,6358078,0,0,0,0,0,0,333571475.1,369901364.8,515367.875,2087071.285,2675724.395,1062691.895,693669.8516
